name,city,province,address,phone,email,star_rating,price_range_pkr,amenities,description
Karimabad Guest House,Hunza,Gilgit-Baltistan,Karimabad Village,+92-5813-457123,karimabadgh@gmail.com,3,3000-6000,"WiFi, Restaurant, Mountain Views","Family-run guest house with authentic local experience"
Fairy Meadows Guest House,Fairy Meadows,Gilgit-Baltistan,Fairy Meadows Base Camp,+92-5811-920456,fairymeadowsgh@yahoo.com,2,4000-7000,"Restaurant, Nanga Parbat Views, Trekking","Basic accommodation with spectacular mountain views"
Altit Guest House,Hunza,Gilgit-Baltistan,Altit Village,+92-5813-457234,altitgh@gmail.com,2,2500-5000,"Basic WiFi, Local Meals","Traditional guest house near Altit Fort"
Passu Guest House,Hunza,Gilgit-Baltistan,Passu Village,+92-5813-457345,passuguests@yahoo.com,2,3000-5500,"Restaurant, Glacier Views","Simple accommodation with views of Passu Glacier"
Skardu Mountain Lodge,Skardu,Gilgit-Baltistan,Skardu Bazaar,+92-5815-454789,skardulodge@gmail.com,3,4000-8000,"WiFi, Restaurant, Local Tours","Central guest house with tour arrangements"
Deosai Guest House,Skardu,Gilgit-Baltistan,Near Deosai Entrance,+92-5815-455123,deosaigh@yahoo.com,2,3500-6000,"Restaurant, Plateau Access","Guest house for Deosai Plains visitors"
Murree Hills Guest House,Murree,Punjab,Mall Road,+92-51-358796,murreehillsgh@gmail.com,3,4000-7000,"WiFi, Hill Views, Restaurant","Comfortable stay in hill station"
Kashmir Point Guest House,Murree,Punjab,Kashmir Point,+92-51-358745,kashmirpointgh@yahoo.com,2,3000-5000,"Mountain Views, Basic Amenities","Budget accommodation with scenic location"
Patriata Guest House,Murree,Punjab,Patriata New Murree,+92-51-358856,patriatagh@gmail.com,2,3500-6000,"Chair Lift Access, Restaurant","Guest house near cable car station"
Naran Valley Guest House,Naran,Khyber Pakhtunkhwa,Naran Bazaar,+92-997-354789,naranvalleygh@yahoo.com,3,4500-8000,"WiFi, Lake Views, Local Cuisine","Comfortable stay near Saif ul Malook Lake"
Kaghan Guest House,Kaghan,Khyber Pakhtunkhwa,Kaghan Valley,+92-997-354567,kaghangh@gmail.com,2,3000-6000,"Valley Views, Trekking Support","Basic guest house in beautiful valley"
Saif ul Malook Guest House,Naran,Khyber Pakhtunkhwa,Lake Saif ul Malook,+92-997-354890,malookgh@yahoo.com,2,4000-7000,"Lake Views, Boat Access","Unique location near famous lake"
Swat River Guest House,Mingora,Khyber Pakhtunkhwa,Mingora City,+92-946-711567,swatrivergh@gmail.com,3,3500-6500,"WiFi, River Views, Local Tours","Guest house with river access and tours"
Kalam Guest House,Kalam,Khyber Pakhtunkhwa,Kalam Valley,+92-946-712345,kalamgh@yahoo.com,2,4000-7500,"Valley Views, Fishing, Restaurant","Scenic location in upper Swat valley"
Chitral Heritage Guest House,Chitral,Khyber Pakhtunkhwa,Chitral Bazaar,+92-943-412789,chitralheritageh@gmail.com,3,4500-8000,"WiFi, Cultural Tours, Local Cuisine","Experience Chitral culture and traditions"
Kalash Valley Guest House,Bumburet,Khyber Pakhtunkhwa,Bumburet Valley,+92-943-413456,kalashgh@yahoo.com,2,3500-6000,"Cultural Experience, Local Festivals","Stay with Kalash community"
Shandur Guest House,Shandur,Gilgit-Baltistan,Shandur Pass,+92-5812-960789,shandurgh@gmail.com,2,3000-5000,"Polo Ground Views, High Altitude","Guest house near world's highest polo ground"
Ghizer Valley Guest House,Gahkuch,Gilgit-Baltistan,Ghizer Valley,+92-5815-456123,ghizergh@yahoo.com,2,3500-6000,"Valley Views, Lake Access","Peaceful location in Ghizer valley"
Shigar Fort Guest House,Shigar,Gilgit-Baltistan,Shigar Village,+92-5815-460234,shigarfortgh@gmail.com,4,6000-10000,"Heritage Building, Fort Views, WiFi","Historic accommodation in restored fort area"
Khaplu Guest House,Khaplu,Gilgit-Baltistan,Khaplu Valley,+92-5815-465789,khaplugh@yahoo.com,3,4000-7000,"Palace Views, Apricot Gardens","Charming guest house in royal valley"
Attabad Lake Guest House,Hunza,Gilgit-Baltistan,Attabad Lake Shore,+92-5813-458567,attabadgh@gmail.com,2,3500-6000,"Lake Views, Boat Trips","Lakeside accommodation with water activities"
Rakaposhi Guest House,Nagar,Gilgit-Baltistan,Nagar Valley,+92-5813-459123,rakaposhigh@yahoo.com,2,3000-5500,"Mountain Views, Glacier Access","Base for Rakaposhi peak exploration"
Gilgit Serena Guest House,Gilgit,Gilgit-Baltistan,Gilgit City,+92-5811-922345,gilgitserenagh@gmail.com,4,5000-9000,"WiFi, City Views, Airport Transfer","Premium guest house in regional capital"
Astore Valley Guest House,Astore,Gilgit-Baltistan,Astore Valley,+92-5815-467890,astoregh@yahoo.com,2,3500-6500,"Valley Views, Nanga Parbat Base","Gateway to Nanga Parbat base camp"
Minimarg Guest House,Minimarg,Gilgit-Baltistan,Minimarg Village,+92-5815-468123,minimargh@gmail.com,2,3000-5000,"High Altitude, Deosai Access","Remote mountain guest house"
