id,name,country,description,budget_level,categories,best_months,safety_rating
1,Karachi,Pakistan,"Pakistan's largest city and economic hub with beautiful beaches, historic architecture, and vibrant food culture.",mid-range,"beach,culture,food,history",Oct-Mar,3.5
2,Lahore,Pakistan,"Cultural capital of Pakistan with Mughal architecture, rich history, and famous food scene.",budget,"culture,history,food,architecture",Oct-Mar,4.0
3,Islamabad,Pakistan,"Modern capital city with beautiful landscapes, Margalla Hills, and planned architecture.",mid-range,"nature,modern,mountains,culture",Mar-May,4.2
4,Hunza Valley,Pakistan,"Breathtaking mountain valley with stunning landscapes, ancient forts, and friendly locals.",mid-range,"mountains,nature,adventure,culture",Apr-Oct,4.5
5,Skardu,Pakistan,"Gateway to world's highest peaks including K2, with pristine lakes and dramatic mountain scenery.",budget,"mountains,adventure,nature,trekking",May-Sep,4.3
6,Swat,Pakistan,"Switzerland of Pakistan with lush green valleys, waterfalls, and Buddhist heritage sites.",budget,"nature,mountains,history,culture",Apr-Oct,3.8
7,Murree,Pakistan,"Popular hill station near Islamabad with cool climate, pine forests, and colonial architecture.",budget,"mountains,nature,relaxation,family",May-Sep,4.0
8,Gilgit,Pakistan,"Northern gateway city with access to three major mountain ranges and rich cultural diversity.",mid-range,"mountains,culture,adventure,nature",Apr-Oct,4.1
9,Neelum Valley,Pakistan,"Paradise on earth with crystal clear rivers, lush forests, and snow-capped mountains.",mid-range,"nature,mountains,adventure,photography",May-Sep,4.4
10,Fairy Meadows,Pakistan,"Spectacular alpine meadow offering close views of Nanga Parbat, perfect for camping and trekking.",budget,"mountains,adventure,camping,nature",Jun-Sep,4.6
11,Naran Kaghan,Pakistan,"Stunning valley with pristine lakes, meadows, and the famous Lake Saif ul Mulook.",mid-range,"nature,lakes,mountains,adventure",May-Sep,4.2
12,Chitral,Pakistan,"Remote mountainous region known for Kalash culture, Hindu Kush range, and unique traditions.",budget,"culture,mountains,adventure,nature",Apr-Oct,4.0
13,Gwadar,Pakistan,"Coastal city with pristine beaches, unique rock formations, and emerging port infrastructure.",budget,"beach,nature,adventure,culture",Oct-Mar,3.6
14,Multan,Pakistan,"City of saints and shrines with rich Sufi culture, ancient architecture, and handicrafts.",budget,"culture,history,religion,architecture",Oct-Mar,3.9
15,Bahawalpur,Pakistan,"Desert city with magnificent palaces, Cholistan desert, and rich princely heritage.",budget,"desert,history,culture,architecture",Oct-Mar,3.8
16,Peshawar,Pakistan,"Historic frontier city with Mughal and Buddhist heritage, famous for Pathan culture and cuisine.",mid-range,"culture,history,food,shopping",Oct-Mar,3.7
17,Quetta,Pakistan,"Fruit garden of Pakistan surrounded by mountains, known for dry fruits and tribal culture.",budget,"mountains,culture,nature,food",Apr-Oct,3.5
18,Rawalpindi,Pakistan,"Twin city of Islamabad with bustling bazaars, military heritage, and gateway to northern areas.",budget,"culture,shopping,history,food",Oct-Mar,3.8
19,Kalash Valleys,Pakistan,"Unique indigenous culture in Chitral with ancient traditions, festivals, and mountain scenery.",mid-range,"culture,mountains,festivals,heritage",May-Sep,4.1
20,Deosai National Park,Pakistan,"High altitude plateau known as Land of Giants with wildflowers, brown bears, and pristine wilderness.",mid-range,"nature,wildlife,adventure,photography",Jun-Sep,4.7
