id,name,destination_id,category,duration,price_pkr,description,best_time
1,Clifton Beach Visit,1,beach,"Half Day",500,"Relax at Karachi's most popular beach with camel rides and local food",Oct-Mar
2,Frere Hall Tour,1,culture,"2 hours",300,"Visit historic British-era building with beautiful gardens",Oct-Mar  
3,Karachi Food Street Tour,1,food,"3 hours",1500,"Explore Burns Road and other food streets for authentic Pakistani cuisine",Oct-Mar
4,Pakistan Maritime Museum,1,culture,"3 hours",200,"Learn about Pakistan's naval history with submarine tours",Year-round
5,Empress Market Shopping,1,shopping,"2 hours",0,"Browse traditional bazaar for spices, textiles and local goods",Oct-Mar
6,Badshahi Mosque Visit,2,religion,"2 hours",0,"Explore one of world's largest mosques with stunning Mughal architecture",Oct-Mar
7,Lahore Fort Tour,2,history,"3 hours",500,"Discover UNESCO World Heritage site with palaces and gardens",Oct-Mar
8,Shalimar Gardens,2,culture,"2 hours",100,"Walk through beautiful Mughal gardens with fountains and pavilions",Oct-Mar
9,Food Street Anarkali,2,food,"3 hours",1200,"Experience Lahore's famous food culture in historic bazaar",Oct-Mar
10,Walled City Walking Tour,2,culture,"4 hours",2000,"Guided tour through old Lahore with heritage havelis",Oct-Mar
11,Faisal Mosque Visit,3,religion,"1 hour",0,"Visit largest mosque in Pakistan with modern Islamic architecture",Year-round
12,Margalla Hills Hiking,3,adventure,"4 hours",500,"Trek through hills with nature trails and city views","Mar-May,Oct-Nov"
13,Pakistan Monument Tour,3,culture,"2 hours",200,"Explore national monument with museum and panoramic views",Year-round
14,Lok Virsa Museum,3,culture,"3 hours",150,"Discover Pakistani folk heritage and traditional crafts",Year-round
15,Daman-e-Koh Viewpoint,3,nature,"1 hour",300,"Scenic viewpoint overlooking Islamabad with photography opportunities",Year-round
16,Altit Fort Visit,4,history,"2 hours",500,"Explore 1000-year-old fort with mountain valley views",Apr-Oct
17,Hunza Cultural Walk,4,culture,"3 hours",1000,"Experience local culture, meet families, traditional music",Apr-Oct
18,Karimabad Bazaar,4,shopping,"2 hours",0,"Shop for local handicrafts, dried fruits and gemstones",Apr-Oct
19,Eagle Watching Tour,4,nature,"4 hours",2000,"Spot golden eagles and other wildlife in their natural habitat",Apr-Oct
20,Apricot Orchard Visit,4,nature,"3 hours",800,"Visit local orchards during blooming season with cultural exchange",Mar-May
21,K2 Base Camp Trek,5,adventure,"15 days",150000,"Ultimate trekking experience to base of world's second highest peak",Jun-Aug
22,Satpara Lake Boating,5,nature,"3 hours",1500,"Boat ride on pristine alpine lake with mountain reflections",May-Sep
23,Skardu Rock Climbing,5,adventure,"Full day",5000,"Rock climbing on dramatic cliff faces with expert guides",May-Sep
24,Deosai Plains Safari,5,nature,"Full day",8000,"Wildlife safari to spot Himalayan brown bears and rare birds",Jun-Sep
25,Shigar Fort Visit,5,history,"2 hours",400,"Explore converted fort now serving as heritage museum",May-Sep
26,Mingora Archaeological Tour,6,history,"4 hours",1500,"Visit Buddhist ruins and Gandhara art sites",Apr-Oct
27,Malam Jabba Skiing,6,adventure,"Full day",3000,"Ski resort with slopes for beginners and experienced skiers",Dec-Mar
