id,name,destination_id,rating,price_range_pkr,amenities,description
1,Pearl Continental Karachi,1,5,"15000-25000","wifi,pool,spa,gym,restaurant","Luxury hotel in heart of Karachi with excellent service and modern amenities"
2,Movenpick Hotel Karachi,1,5,"12000-20000","wifi,pool,restaurant,gym,conference","Premium business hotel with international standards and harbor views"
3,Carlton Hotel Karachi,1,4,"8000-12000","wifi,restaurant,parking,ac","Mid-range hotel with comfortable rooms and central location"
4,Pearl Continental Lahore,2,5,"12000-18000","wifi,pool,spa,restaurant,gym","Heritage luxury hotel with traditional Mughal architecture and modern facilities"
5,Avari Hotel Lahore,2,4,"8000-14000","wifi,restaurant,pool,parking","Well-established hotel with excellent location near Mall Road"
6,Hotel One Lahore,2,3,"4000-7000","wifi,restaurant,ac,parking","Budget-friendly hotel chain with clean rooms and good service"
7,Serena Hotel Islamabad,3,5,"18000-30000","wifi,pool,spa,gym,restaurant,conference","Premier luxury hotel with stunning Margalla Hills views"
8,Marriott Hotel Islamabad,3,5,"16000-25000","wifi,pool,restaurant,gym,spa","International luxury chain with world-class facilities"
9,Best Western Hotel Islamabad,3,4,"8000-12000","wifi,restaurant,pool,gym","Comfortable mid-range hotel with modern amenities"
10,Eagle's Nest Hotel Hunza,4,4,"6000-10000","wifi,restaurant,mountain_view,heating","Traditional hotel with spectacular mountain views and local hospitality"
11,Hunza Serena Inn,4,5,"12000-18000","wifi,restaurant,spa,mountain_view","Luxury mountain resort with traditional architecture and modern comforts"
12,Mountain Story Hotel Hunza,4,3,"3000-5000","wifi,restaurant,mountain_view","Budget hotel with authentic local experience and friendly staff"
13,Concordia K2 Hotel Skardu,5,3,"4000-8000","wifi,restaurant,trekking_support","Base camp hotel for K2 expeditions with mountaineering facilities"
14,Shangrila Resort Skardu,5,4,"8000-15000","wifi,restaurant,lake_view,boats","Famous resort by Lower Kachura Lake with unique aircraft restaurant"
15,Baltistan Continental Hotel,5,3,"3000-6000","wifi,restaurant,heating","Simple hotel with basic amenities for budget travelers"
16,Swat Serena Hotel,6,4,"8000-14000","wifi,restaurant,spa,mountain_view","Luxury mountain hotel with beautiful valley views"
17,Rock City Resort Swat,6,3,"4000-7000","wifi,restaurant,nature_view","Mid-range resort surrounded by natural beauty"
18,Pearl Continental Murree,7,4,"10000-16000","wifi,restaurant,fireplace,mountain_view","Hill station hotel with colonial charm and mountain views"
19,Murree Hills Hotel,7,3,"5000-9000","wifi,restaurant,heating","Historic hotel with old-world charm in Mall Road"
